# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 06:59:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-202604291459-1-053c0f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-profile-202604291459-1-030534.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.352537
# Diagonal elements of inverse mass matrix:
# 2.83289, 3.80869, 0.0111165
-158.32836,0.98948599,0.35253716,3,7,0,159.21893,51.111007,-2.1169556,5.1566152,-2.1169556
-158.05162,1,0.35253716,2,7,0,158.72499,52.605562,-2.3895908,5.1645899,-2.3895908
-158.66765,0.93294479,0.35253716,3,7,0,158.82187,53.225277,-2.6584885,5.0518206,-2.6584885
-160.49997,0.91223325,0.35253716,3,11,0,160.62895,50.468046,1.0419212,5.9285841,1.0419212
-159.26569,1,0.35253716,3,7,0,160.86261,51.553025,-0.4856147,5.7329651,-0.4856147
-158.27443,0.92040533,0.35253716,4,15,0,160.88131,51.286966,-2.2940291,5.1275593,-2.2940291
-158.8651,0.83413425,0.35253716,2,7,0,160.15459,51.992611,-1.4935057,5.8722223,-1.4935057
-158.38288,0.99590397,0.35253716,3,7,0,159.21946,50.690379,-1.541658,5.2844586,-1.541658
-159.93946,0.78773998,0.35253716,3,11,0,160.75981,51.904113,-3.9149186,5.0390426,-3.9149186
-159.96634,1,0.35253716,3,11,0,161.08228,53.899242,-3.6600093,6.0245651,-3.6600093
-158.78739,0.99900794,0.35253716,3,7,0,160.74988,50.566675,0.030869466,5.1344871,0.030869466
-158.26448,0.98548186,0.35253716,2,7,0,159.39583,51.483808,-2.4300804,5.4714396,-2.4300804
-157.90403,0.99973919,0.35253716,3,7,0,158.35895,51.717721,-2.3555129,5.1129917,-2.3555129
-158.69662,0.87999824,0.35253716,2,7,0,158.98507,52.88648,-2.1766351,4.9943955,-2.1766351
-157.91161,0.97261877,0.35253716,2,7,0,159.04737,52.35403,-2.9568205,5.146593,-2.9568205
-159.81807,0.5180142,0.35253716,2,3,0,160.69716,52.720661,-1.2831446,5.2454014,-1.2831446
-158.89609,0.64102142,0.35253716,3,11,0,165.30856,51.202972,-2.3946742,5.7908349,-2.3946742
-158.13265,0.93859559,0.35253716,2,7,0,159.66927,51.351251,-2.1595647,5.3959961,-2.1595647
-158.02845,0.987256,0.35253716,2,7,0,159.21742,52.227868,-2.4843552,5.4933692,-2.4843552
-158.99389,0.88610238,0.35253716,2,3,0,159.1694,51.557701,-2.9530146,5.7275605,-2.9530146
-159.70519,0.83424024,0.35253716,3,11,0,161.48666,50.583495,-2.0749261,5.9993677,-2.0749261
